order;phase;slice_id;title;objective;status;depends_on
58;F7-PROFESSIONAL;VS-087;Beta readers;Perfiles y consolidación.;PLANNED;VS-086
59;F7-PROFESSIONAL;VS-088;Originality read aloud;Redundancia y oralidad.;PLANNED;VS-087
60;F8-RESEARCH-RIGHTS;VS-090;Research planning;Preguntas y fuentes.;PLANNED;VS-088
61;F8-RESEARCH-RIGHTS;VS-091;Claim verification;Claims, evidencia y vigencia.;PLANNED;VS-090
62;F8-RESEARCH-RIGHTS;VS-092;Citations bibliography;Citas y referencias.;PLANNED;VS-091
63;F8-RESEARCH-RIGHTS;VS-093;Rights licenses;Permisos y licencias.;PLANNED;VS-092
64;F8-RESEARCH-RIGHTS;VS-094;AI provenance disclosure;Clasificación y declaración.;PLANNED;VS-093
65;F8-RESEARCH-RIGHTS;VS-095;Legal risk workflow;Personas, marcas y revisión humana.;PLANNED;VS-094
66;F9-VISUAL;VS-100;Visual briefs;Briefs y continuidad.;PLANNED;VS-095
67;F9-VISUAL;VS-101;Asset registry;Assets, provenance y rights.;PLANNED;VS-100
68;F9-VISUAL;VS-102;Image adapters;ComfyUI, local, remoto y manual.;PLANNED;VS-101
69;F9-VISUAL;VS-103;Visual audits;Checks técnicos y semánticos.;PLANNED;VS-102
70;F9-VISUAL;VS-104;Cover workflow;Portada, miniatura y género.;PLANNED;VS-103
71;F9-VISUAL;VS-105;Visual accessibility;Alt text y contraste.;PLANNED;VS-104
72;F10-PRODUCTION;VS-110;Manuscript assembly;Fuente canónica.;PLANNED;VS-105
73;F10-PRODUCTION;VS-111;EPUB renderer;Pandoc y EPUBCheck.;PLANNED;VS-110
74;F10-PRODUCTION;VS-112;Print PDF renderer;PDF y geometría.;PLANNED;VS-111
75;F10-PRODUCTION;VS-113;DOCX renderer;Documento editable.;PLANNED;VS-112
76;F10-PRODUCTION;VS-114;Accessibility pipeline;Ace y revisión manual.;PLANNED;VS-113
77;F10-PRODUCTION;VS-115;Technical preflight;Fonts, DPI, links y TOC.;PLANNED;VS-114
78;F10-PRODUCTION;VS-116;Metadata KDP package;Metadata y ZIP.;PLANNED;VS-115
79;F10-PRODUCTION;VS-117;Proof workflow;Galeradas y copia física.;PLANNED;VS-116
80;F10-PRODUCTION;VS-118;Professional release;Freeze y manifest.;PLANNED;VS-117
81;F11-OPERATIONS;VS-120;Installer packaging;Instaladores y prerequisites.;PLANNED;VS-118
82;F11-OPERATIONS;VS-121;Configuration secrets;Keyring y perfiles.;PLANNED;VS-120
83;F11-OPERATIONS;VS-122;Backup restore export;Operaciones completas.;PLANNED;VS-121
84;F11-OPERATIONS;VS-123;Safe mode support;Diagnóstico y recovery.;PLANNED;VS-122
85;F11-OPERATIONS;VS-124;Upgrade rollback;Updates y migrations.;PLANNED;VS-123
86;F11-OPERATIONS;VS-125;Local only profile;Modo sin egress.;PLANNED;VS-124
87;F11-OPERATIONS;VS-126;Resource budgets;CPU, RAM, storage y queues.;PLANNED;VS-125
88;F12-ENTERPRISE;VS-130;PostgreSQL persistence;Port y migration.;PLANNED;VS-126
89;F12-ENTERPRISE;VS-131;Authentication organizations;Usuarios y organizaciones.;PLANNED;VS-130
90;F12-ENTERPRISE;VS-132;RBAC audit;Roles y auditoría.;PLANNED;VS-131
91;F12-ENTERPRISE;VS-133;Collaboration;Conflictos y approvals.;PLANNED;VS-132
92;F12-ENTERPRISE;VS-134;Remote deployment;Containers y operations.;PLANNED;VS-133
93;F12-ENTERPRISE;VS-135;Remote MCP authorization;OAuth y scopes.;PLANNED;VS-134
94;F12-ENTERPRISE;VS-136;Distributed workflows;Temporal adapter.;PLANNED;VS-135
95;F12-ENTERPRISE;VS-137;Enterprise admin;Policies y reporting.;PLANNED;VS-136
96;F13-CERTIFICATION;VS-140;Full E2E certification;Todos los journeys.;PLANNED;VS-137
97;F13-CERTIFICATION;VS-141;Security certification;Threat model y adversarial.;PLANNED;VS-140
98;F13-CERTIFICATION;VS-142;MCP certification;Conformance y compatibility.;PLANNED;VS-141
99;F13-CERTIFICATION;VS-143;Data certification;SQLite y PostgreSQL.;PLANNED;VS-142
100;F13-CERTIFICATION;VS-144;Accessibility editorial audit;Auditoría final.;PLANNED;VS-143
101;F13-CERTIFICATION;VS-145;Disaster recovery drill;Recovery completo.;PLANNED;VS-144
102;F13-CERTIFICATION;VS-146;Documentation certification;User, admin, developer y client.;PLANNED;VS-145
103;F13-CERTIFICATION;VS-147;Final M-Audit;Meta-auditoría completa.;PLANNED;VS-146
104;F13-CERTIFICATION;VS-148;Full program release;Tag, installers y manifests.;PLANNED;VS-147
